BLAQUIER,['6065']
EDUARDO COSTA,['6064']
FLORENTINO AMEGHINO,['6064']
NUEVA SUIZA,['6077']
PORVENIR,['6063']
BARRIO OESTE,['7607']
BARRIO PARQUE BRISTOL,['7607']
COMANDANTE NICANOR OTAMENDI,['7613']
DIONISIA,['7603']
EL CENTINELA,['7607']
EL MARQUESADO,['7784']
EL PITO,"['7607', '7641']"
GENERAL ALVARADO,['7607']
LA BALLENERA,['7603']
LA CALETA,['7609']
LA COLMENA,['7603']
LA ELMA,['7603']
LA LUCIA,['7603']
LA MADRECITA,['7603']
LAS LOMAS,['7603']
LAS PIEDRITAS,"['7400', '7605']"
LOS PATOS,['7603']
MAR DEL SUD,['7774']
MECHONGUE,['7605']
MIRAMAR,['7607']
PLA Y RAGNONI,['7607']
SAN CORNELIO,['7603']
SAN EDUARDO DEL MAR,['7783']
SAN FELIPE,['7603']
SAN JOSE DE OTAMENDI,['7601']
SANTA IRENE,['7607']
VILLA COPACABANA,['7607']
YRAIZOS,['7605']
EL CHUMBEAU,['7263']
EL PARCHE,['7263']
EMMA,['7263']
GENERAL ALVEAR,['7263']
HARAS R DE LA PARVA,['7263']
JOSE M MICHEO,['7263']
LA PAMPA,['7263']
LOS CHUCAROS,['7263']
LOS CUATRO CAMINOS,['7263']
SANTA ISABEL,['6550']
ARRIBEÑOS,['6007']
ASCENCION,['6003']
COLONIA LOS HORNOS,['6007']
DELGADO,['6007']
DESVIO EL CHINGOLO,['6031']
DESVIO KILOMETRO 95,['6007']
ESTACION ASCENSION,['6003']
ESTACION GENERAL ARENALES,['6005']
FERRE,['6027']
GENERAL ARENALES,['6005']
HAM,['6005']
KILOMETRO 95,['6031']
LA ANGELITA,['6003']
LA HUAYQUERIA,['6005']
LA PINTA,['6007']
LA TRINIDAD,['6003']
BONNEMENT,['7223']
CHAS,['7223']
GENERAL BELGRANO,['7223']
GORCHS,['7226']
HARAS CHACABUCO,['7223']
IBAÑEZ,['7223']
KILOMETRO 146,['7226']
NEWTON,['7223']
GENERAL GUIDO,['7118']
LABARDEN,['7161']
SAN JUSTO,"['1754', '7118']"
ALDECON,['7406']
CHALA QUILCA,['7406']
FORTIN NECOCHEA,['7406']
GENERAL LAMADRID,['7406']
LA COLINA,['7408']
LAS BANDURRIAS,['7406']
LAS MARTINETAS,['7406']
LASTRA,['7406']
LIBANO,['7407']
PONTAUT,['7535']
QUILCO,['7406']
RAULET,['7530']
SAN QUILCO,['7406']
SANTA CLEMENTINA,['7406']
EL DURAZNO,['1735']
ENRIQUE FYNN,['1741']
GENERAL HORNOS,['1741']
GENERAL LAS HERAS,['1741']
HORNOS,['1739']
KILOMETRO 77,['1737']
KILOMETRO 79,['1741']
LA CHOZA,['1737']
LOZANO,['1741']
PARADA KILOMETRO 76,['1739']
PLOMER,['1741']
